gene,trait
LOC105369709,Type 2 diabetes
KLHL42,Type 2 diabetes
LOC107986598,Type 2 diabetes
RPS4XP9,Type 2 diabetes
ARG1,Type 2 diabetes
MED23,Type 2 diabetes
AGMO,Type 2 diabetes
YKT6,Type 2 diabetes
LOC105375508,Type 2 diabetes
UBE3C,Type 2 diabetes
SGK223,Type 2 diabetes
LOC157273,Type 2 diabetes
TNKS,Type 2 diabetes
PINX1,Type 2 diabetes
ZNF34,Type 2 diabetes
CDKN2B-AS1/CDKN2B,Type 2 diabetes
CDKN2B-AS1,Type 2 diabetes
LOC101927450,Type 2 diabetes
LOC101927502,Type 2 diabetes
LOC107987099,Type 2 diabetes
PTPDC1,Type 2 diabetes
FAM241B,Type 2 diabetes
CAMK2G,Type 2 diabetes
CHUK,Type 2 diabetes
MIR4421,Type 2 diabetes
LOC107986166,Type 2 diabetes
LOC102723886,Type 2 diabetes
MIR4432HG,Type 2 diabetes
LOC105373585,Type 2 diabetes
C5orf67,Type 2 diabetes
ZBED3-AS1,Type 2 diabetes
YTHDC2,Type 2 diabetes
NFKBIL1,Type 2 diabetes
HLA-DQB1,Type 2 diabetes
HLA-DOB,Type 2 diabetes
TNIK,Type 2 diabetes
SPATA18,Type 2 diabetes
SLC9B2,Type 2 diabetes
NUDT6,Type 2 diabetes
MIR5702,Type 2 diabetes
SPHKAP,Type 2 diabetes
PTH1R,Type 2 diabetes
ATXN7,Type 2 diabetes
ADAMTS9-AS2,Type 2 diabetes
LOC107986143,Type 2 diabetes
WDR11,Type 2 diabetes
FGFR2,Type 2 diabetes
PARP8,Type 2 diabetes
EMB,Type 2 diabetes
NUS1,Type 2 diabetes
ZNF257,Type 2 diabetes
FGFR4,Type 2 diabetes
ZNF346,Type 2 diabetes
USP48,Type 2 diabetes
NFATC2,Type 2 diabetes
DGKD,Type 2 diabetes
C10orf11,Type 2 diabetes
ZNF503,Type 2 diabetes
ARL4A,Type 2 diabetes
TTLL6-CALCOCO2,Type 2 diabetes
C17orf58,Type 2 diabetes
ZHX3,Type 2 diabetes
PPIP5K2,Type 2 diabetes
TPCN2,Type 2 diabetes
MRPS35,Type 2 diabetes
ABCC8,Type 2 diabetes
PAM-PPIP5K2,Type 2 diabetes
VWA5B1,Type 2 diabetes
MAST2,Type 2 diabetes
PGM1,Type 2 diabetes
TSEN15,Type 2 diabetes
MDM4,Type 2 diabetes
NUP133,Type 2 diabetes
SIX3,Type 2 diabetes
SCTR,Type 2 diabetes
EPC2,Type 2 diabetes
IKZF2,Type 2 diabetes
CASR,Type 2 diabetes
BCL6-LPP,Type 2 diabetes
TFRC,Type 2 diabetes
AS1,Type 2 diabetes
MOB1B,Type 2 diabetes
NKX6-1,Type 2 diabetes
RANBP3L,Type 2 diabetes
HMGCR,Type 2 diabetes
PCSK1,Type 2 diabetes
MHC-region,Type 2 diabetes
HMGA1,Type 2 diabetes
GLP1R,Type 2 diabetes
ENPP3,Type 2 diabetes
REPS1,Type 2 diabetes
HIVEP2,Type 2 diabetes
MYL7,Type 2 diabetes
ZNF713,Type 2 diabetes
STEAP1,Type 2 diabetes
CALCR,Type 2 diabetes
RASA4,Type 2 diabetes
GRM8,Type 2 diabetes
ASAH1,Type 2 diabetes
ZNF703,Type 2 diabetes
FGFR1,Type 2 diabetes
NKX6-3,Type 2 diabetes
KCNB2,Type 2 diabetes
GDAP1,Type 2 diabetes
TRIB1,Type 2 diabetes
EFR3A,Type 2 diabetes
DMRT2,Type 2 diabetes
PTCH1,Type 2 diabetes
ABCA1,Type 2 diabetes
PTF1A,Type 2 diabetes
ARID5B,Type 2 diabetes
TSPAN15,Type 2 diabetes
LRMDA,Type 2 diabetes
BTAF1,Type 2 diabetes
MYOF,Type 2 diabetes
ARHGAP19,Type 2 diabetes
BBIP1,Type 2 diabetes
BDNF,Type 2 diabetes
SINHCAF,Type 2 diabetes
DENND5B,Type 2 diabetes
FAIM2,Type 2 diabetes
SH2B3,Type 2 diabetes
