id,node,node.type,node.label,pln
g0733,AP1B1,1,GENE,General
g0734,AP1G1,1,GENE,General
g0735,AP1G2,1,GENE,General
g0736,AP1M1,1,GENE,General
g0737,AP1M2,1,GENE,General
g0738,AP1S1,1,GENE,General
g0739,AP1S3,1,GENE,General
g0740,AP2A1,1,GENE,General
g0741,AP2A2,1,GENE,General
g0742,AP2B1,1,GENE,General
g0743,AP2M1,1,GENE,General
g0744,AP2S1,1,GENE,General
g0745,AP3B1,1,GENE,General
g0746,AP3B2,1,GENE,General
g0747,AP3D1,1,GENE,General
g0748,AP3M1,1,GENE,General
g0749,AP3M2,1,GENE,General
g0750,AP3S1,1,GENE,General
g0751,AP3S2,1,GENE,General
g0752,AP4B1,1,GENE,General
g0753,AP4E1,1,GENE,General
g0754,AP4M1,1,GENE,General
g0755,AP4S1,1,GENE,General
g0756,AP5B1,1,GENE,General
g0757,AP5M1,1,GENE,General
g0758,AP5S1,1,GENE,General
g0759,AP5Z1,1,GENE,General
g0760,APAF1,1,GENE,General
g0761,APBA1,1,GENE,General
g0762,APBA2,1,GENE,General
g0763,APBB1,1,GENE,General
g0764,APBB1IP,1,GENE,General
g0765,APBB2,1,GENE,General
g0766,APBB3,1,GENE,General
g0767,APC,1,GENE,General
g0768,APC2,1,GENE,General
g0769,APCDD1,1,GENE,General
g0770,APCS,1,GENE,General
g0771,APEH,1,GENE,General
